ticker,name,last_close,ma240,ma240_change_pct
2351.TW,順德,152.0,84.03583335876465,1.9213276694847625
6196.TW,帆宣,376.5,245.56666666666666,1.8948824343015147
2330.TW,台積電,2180.0,1432.1083333333333,1.891345464031824
3028.TW,增你強,70.5999984741211,39.1789583047231,1.8892356637169483
5243.TW,乙盛-KY,103.5,74.34937488238016,1.8725897082627396
2316.TW,楠梓電,114.0,87.60875005722046,1.8694056616314514
3533.TW,嘉澤,2650.0,1519.75,1.8599195710455874
6443.TW,元晶,35.349998474121094,23.527499997615813,1.855242327191764
2413.TW,環科,44.849998474121094,29.96083335876465,1.8339918143547518
6209.TW,今國光,62.900001525878906,44.57875010172526,1.8201025664529968
3701.TW,大眾控,68.69999694824219,43.00729153156281,1.8200201899530422
3563.TW,牧德,877.0,560.7568181355795,1.7929654531363415
3714.TW,富采,73.69999694824219,38.72145838737488,1.7802772982342674
5234.TW,達興材料,461.5,329.175,1.7411461687057317
2484.TW,希華,40.20000076293945,24.04145835240682,1.7188340805398772
8103.TW,瀚荃,124.5,75.5006856918335,1.7069872486069615
1560.TW,中砂,521.0,364.31041666666664,1.6881243966830661
3016.TW,嘉晶,81.5999984741211,48.46916650136312,1.6875663975700839
8131.TW,福懋科,64.0999984741211,43.14895830154419,1.6874674401514245
6669.TW,緯穎,4845.0,3454.9375,1.6812287317207852
7730.TW,暉盛-創,165.0,111.31666673024496,1.678724013700017
3645.TW,達邁,102.0,65.1400000890096,1.674676931356145
1326.TW,台化,52.5,32.702083349227905,1.6612156836203207
2406.TW,國碩,30.549999237060547,22.0222917675972,1.656008096477657
2369.TW,菱生,30.200000762939453,21.109583310286204,1.610509412632477
2481.TW,強茂,101.0,73.9304164727529,1.601907933918989
2454.TW,聯發科,2575.0,1463.3958333333333,1.5982527698226612
5284.TW,jpp-KY,337.0,253.91875,1.5928982245561274
4949.TW,有成精密,102.5,49.218958377838135,1.5683374795879113
6155.TW,鈞寶,47.849998474121094,33.833124915758766,1.5488800635764743
8033.TW,雷虎,143.0,121.40958331425985,1.542391363588247
1528.TW,恩德,27.75,18.213750024636585,1.5377110802399674
1519.TW,華城,871.0,694.5818186442058,1.5108469651603729
3031.TW,佰鴻,32.79999923706055,20.32333333492279,1.4454774233997991
3049.TW,精金,12.600000381469727,7.943458318710327,1.4452420299333246
4739.TW,康普,85.19999694824219,64.83736774126689,1.4373746121919106
2059.TW,川湖,4160.0,3096.9166666666665,1.4350149096889142
6706.TW,惠特,147.0,90.70250000953675,1.4087262116321941
6205.TW,詮欣,91.69999694824219,48.52874992688497,1.3933323711106782
2402.TW,毅嘉,68.4000015258789,50.85687500635783,1.3909887243947372
6285.TW,啟��,213.0,134.3920833269755,1.389408432707051
8028.TW,昇陽半導體,246.0,164.4375,1.387283236994219
3042.TW,晶技,157.5,91.56833324432372,1.3853968351778656
6226.TW,光鼎,13.300000190734863,8.101999994119009,1.3811334385330332
3576.TW,聯合再生,15.149999618530273,10.040499975283941,1.3769515066370586
5292.TW,華懋,247.0,167.56799240112304,1.3737884825969937
1735.TW,日勝化,28.75,17.6075000445048,1.3733792290678393
3138.TW,耀登,153.0,116.0699998219808,1.3604823440317437
4720.TW,德淵,28.350000381469727,16.2387499888738,1.3602080935317895
3518.TW,柏騰,32.79999923706055,20.37041664123535,1.3495584491270085
4576.TW,大銀微系統,202.0,121.78499997456869,1.3224991249691342
2340.TW,台亞,38.849998474121094,24.909166646003722,1.3099696209001088
6691.TW,洋基工程,636.0,495.8988222757975,1.2927646111986046
3092.TW,鴻碩,32.599998474121094,21.128541553020476,1.2893753400107677
1309.TW,台達化,18.950000762939453,12.618083357810974,1.287694354557689
2404.TW,漢唐,959.0,856.5729166666666,1.2859201596314707
6239.TW,力成,204.5,165.99583333333334,1.2838765444653344
3543.TW,州巧,41.900001525878906,37.234296107292174,1.2784142840830626
3481.TW,群創,23.950000762939453,16.691874969005585,1.2741268988478271
